Year,Month,Locality,Households Served,Individuals Served,Pounds of Food Distributed,Children Served via non-federal child nutrition programs,Pounds of food distributed via non-federal child nutrition progr
2019,Apr,Accomack County,1796,5250,124917,349,6739
2019,Apr,Chesapeake City,3770,10613,229066,285,4592
2019,Apr,Franklin City,874,1986,25049,80,1162
2019,Apr,Isle of Wight County,1422,3102,54910,60,893
2019,Apr,Norfolk City,9407,30792,410337,1227,19049
2019,Apr,Northampton County,338,695,9610,85,1690
2019,Apr,Portsmouth City,3479,8756,107055,585,9596
2019,Apr,Southampton County,499,1075,15649,105,1501
2019,Apr,Suffolk City,1939,4689,55596,251,4396
2019,Apr,Sussex County,256,589,12818,130,2151
2019,Apr,Virginia Beach City,4553,18459,248658,220,3222
2019,Aug,Accomack County,1831,5477,77457,0,0
2019,Aug,Chesapeake City,2762,8791,201285,0,0
2019,Aug,Franklin City,868,2162,26919,0,0
2019,Aug,Isle of Wight County,1389,3130,49091,0,0
2019,Aug,Norfolk City,8583,34986,561709,0,0
2019,Aug,Northampton County,323,596,7610,0,0
2019,Aug,Portsmouth City,2417,8057,130772,0,0
2019,Aug,Southampton County,580,1301,21412,0,0
2019,Aug,Suffolk City,2027,4914,74929,0,0
2019,Aug,Sussex County,224,545,9808,0,0
2019,Aug,Virginia Beach City,4733,20691,300298,0,0
2019,Dec,Accomack County,2001,5887,108224,340,4831
2019,Dec,Chesapeake City,3121,9057,233812,285,5504
2019,Dec,Franklin City,1022,2687,29857,80,1174
2019,Dec,Isle of Wight County,1621,3724,47245,60,851
2019,Dec,Norfolk City,8245,28852,444179,1235,18285
2019,Dec,Northampton County,359,731,12920,95,1260
2019,Dec,Portsmouth City,2027,6609,111428,560,8690
2019,Dec,Southampton County,605,1381,26613,145,2047
2019,Dec,Suffolk City,2471,5677,70373,250,3508
2019,Dec,Sussex County,206,481,16572,130,1797
2019,Dec,Virginia Beach City,4516,16239,265672,220,3144
2019,Feb,Accomack County,1805,5327,92287,348,2911
2019,Feb,Chesapeake City,4160,11080,242475,280,4417
2019,Feb,Franklin City,988,2350,24196,60,809
2019,Feb,Isle of Wight County,1446,3296,48030,60,743
2019,Feb,Norfolk City,10869,35761,455039,1060,14797
2019,Feb,Northampton County,359,708,11564,85,1036
2019,Feb,Portsmouth City,3514,8445,102833,470,6794
2019,Feb,Southampton County,546,1125,20800,95,922
2019,Feb,Suffolk City,2050,4987,57764,180,2327
2019,Feb,Sussex County,317,481,10397,80,990
2019,Feb,Virginia Beach City,4755,18515,271992,220,2844
2019,Jan,Accomack County,1695,4941,85636,348,5966
2019,Jan,Chesapeake City,4980,12505,200721,280,4877
2019,Jan,Franklin City,837,2147,26147,60,731
2019,Jan,Isle of Wight County,1433,3326,40068,60,731
2019,Jan,Norfolk City,10016,35717,438931,1060,21572
2019,Jan,Northampton County,348,688,9030,85,1155
2019,Jan,Portsmouth City,3349,8015,91870,470,9675
2019,Jan,Southampton County,489,1013,16905,97,1484
2019,Jan,Suffolk City,1985,5013,73386,180,2771
2019,Jan,Sussex County,220,464,10606,80,974
2019,Jan,Virginia Beach City,5186,22211,271668,220,3616
2019,Jul,Accomack County,1542,4451,98817,0,0
2019,Jul,Chesapeake City,3146,9630,257730,0,0
2019,Jul,Franklin City,895,1926,21924,0,0
2019,Jul,Isle of Wight County,1309,2997,49416,0,0
2019,Jul,Norfolk City,8184,32474,511671.5,0,0
2019,Jul,Northampton County,266,702,14552,0,0
2019,Jul,Portsmouth City,2274,7211,123217,0,0
2019,Jul,Southampton County,529,1098,18694,0,0
2019,Jul,Suffolk City,1820,4178,78582,0,0
2019,Jul,Sussex County,243,539,10537,0,0
2019,Jul,Virginia Beach City,4652,21526,307350,220,0
2019,Jun,Accomack County,1628,4754,113461,349,2972
2019,Jun,Chesapeake City,3360,9561,205150,285,723
2019,Jun,Franklin City,990,2291,27263,80,0
2019,Jun,Isle of Wight County,1450,3361,52380,60,0
2019,Jun,Norfolk City,6492,27740,464790,1235,8023
2019,Jun,Northampton County,265,587,12418,85,561
2019,Jun,Portsmouth City,3569,9172,104308,585,3651
2019,Jun,Southampton County,544,1270,19219,105,0
2019,Jun,Suffolk City,2355,5172,66359,250,986
2019,Jun,Sussex County,221,397,10340,130,0
2019,Jun,Virginia Beach City,4173,14580,261986,220,855
2019,Mar,Accomack County,1596,4698,100043,349,4065
2019,Mar,Chesapeake City,3831,10347,217176,282,4850
2019,Mar,Franklin City,1026,2237,25807,67,1623
2019,Mar,Isle of Wight County,1501,3332,45956,60,869
2019,Mar,Norfolk City,10047,33700,424450.625,1176,17320
2019,Mar,Northampton County,367,711,10810,85,985
2019,Mar,Portsmouth City,3364,8260,107758,585,8425
2019,Mar,Southampton County,528,1178,13795,98,1804
2019,Mar,Suffolk City,2061,4590,53916,242,3038
2019,Mar,Sussex County,265,595,12658,97,1956
2019,Mar,Virginia Beach City,4274,18195,281331,220,3091
2019,May,Accomack County,1669,4804,94712,349,5142
2019,May,Chesapeake City,4014,10623,267843,285,5311
2019,May,Franklin City,883,2143,27887,80,1178
2019,May,Isle of Wight County,1396,3163,35955,60,1325
2019,May,Norfolk City,10256,33275,444592,1262,20756
2019,May,Northampton County,323,632,12230,85,1250
2019,May,Portsmouth City,3562,8806,111709,585,9473
2019,May,Southampton County,636,1203,15983,105,1523
2019,May,Suffolk City,1968,4604,64467,250,3567
2019,May,Sussex County,247,547,12196,130,1915
2019,May,Virginia Beach City,5068,20301,294481,220,3211
2019,Nov,Accomack County,1981,6033,103612,340,5508
2019,Nov,Chesapeake City,3596,11206,325850,285,3030
2019,Nov,Franklin City,1155,3097,30044,80,1144
2019,Nov,Isle of Wight County,1644,3747,77392,60,447
2019,Nov,Norfolk City,9968,34492,551042,1235,11337
2019,Nov,Northampton County,248,691,13160,95,1321
2019,Nov,Portsmouth City,2334,7820,123310,560,5364
2019,Nov,Southampton County,653,1412,27976,145,1432
2019,Nov,Suffolk City,2338,5631,84411,250,2577
2019,Nov,Sussex County,255,545,22297,130,1910
2019,Nov,Virginia Beach City,5749,21214,307689,220,2204
2019,Oct,Accomack County,1976,5811,112874,340,4795
2019,Oct,Chesapeake City,3752,9970,230149,285,4754
2019,Oct,Franklin City,813,2016,24564,80,1106
2019,Oct,Isle of Wight County,1432,3254,50338,60,829
2019,Oct,Norfolk City,10192,36934,487128,1235,26111
2019,Oct,Northampton County,316,699,13015,95,1394
2019,Oct,Portsmouth City,2714,8456,125045,560,12884
2019,Oct,Southampton County,600,1331,21735,145,2525
2019,Oct,Suffolk City,2827,6256,80004,250,5340
2019,Oct,Sussex County,268,478,11001,130,1824
2019,Oct,Virginia Beach City,5342,23819,323227,220,3067
2019,Sep,Accomack County,1871,5542,136546,0,0
2019,Sep,Chesapeake City,3650,10121,216512,55,3812
2019,Sep,Franklin City,600,1615,20763,0,1197
2019,Sep,Isle of Wight County,1369,3179,36268,0,904
2019,Sep,Norfolk City,8383,31339,390050,140,3523
2019,Sep,Northampton County,273,550,16069,0,0
2019,Sep,Portsmouth City,2273,7961,119606,80,580
2019,Sep,Southampton County,604,1378,18295,0,1633
2019,Sep,Suffolk City,2470,4834,59654,0,0
2019,Sep,Sussex County,249,614,8833,0,941
2019,Sep,Virginia Beach City,4776,19338,295832,0,2308
2020,Apr,Accomack County,1490,5048,111528,232,0
